model,method,delta,seed,converged,n_iterations,final_f,theta_error_norm,time_s
gs_coreg2_small,AD,10.0,3,1,59,-20713.054726615548,0.21489954170074954,14.8
gs_coreg2_small,AD,10.0,4,1,64,-20713.0547644943,0.214364620948602,14.2
gs_coreg2_small,FD,0.3,0,1,21,-20713.053483814,0.22032056788276078,13.61
gs_coreg2_small,FD,0.3,1,1,12,-20713.040485307574,0.18752185444713365,8.95
gs_coreg2_small,FD,0.3,2,1,17,-20713.054731026292,0.21531938000102582,11.18
gs_coreg2_small,FD,0.3,3,1,17,-20713.05468867719,0.21666219893605843,10.46
gs_coreg2_small,FD,0.3,4,1,18,-20713.05130009353,0.20618942328304266,11.53
gs_coreg2_small,FD,0.5,0,1,26,-20713.054744809866,0.21405341835674532,16.55
gs_coreg2_small,FD,0.5,1,1,19,-20713.054744407535,0.2148428317348718,12.62
gs_coreg2_small,FD,0.5,2,1,18,-20713.054550632834,0.2128694664686609,11.54
gs_coreg2_small,FD,0.5,3,1,19,-20713.05469200015,0.21555247703191724,12.13
gs_coreg2_small,FD,0.5,4,1,18,-20713.05400557816,0.2099480254039036,11.6
gs_coreg2_small,FD,1.0,0,1,24,-20713.054752245545,0.2150138543547026,14.44
gs_coreg2_small,FD,1.0,1,1,21,-20713.05258049071,0.21041004890749992,12.28
gs_coreg2_small,FD,1.0,2,1,21,-20713.053886204958,0.2213270880697379,12.8
gs_coreg2_small,FD,1.0,3,1,23,-20713.053925588727,0.2186937168726391,14.98
gs_coreg2_small,FD,1.0,4,1,20,-20713.04837962985,0.22973988479314253,13.18
gs_coreg2_small,FD,2.0,0,1,30,-20713.054744064808,0.21474405452713596,18.29
gs_coreg2_small,FD,2.0,1,1,29,-20713.05468453467,0.21531359588027194,17.01
gs_coreg2_small,FD,2.0,2,1,25,-20713.049126535654,0.2018686074344797,15.35
gs_coreg2_small,FD,2.0,3,1,33,-20713.054717347026,0.21505648686885598,22.97
gs_coreg2_small,FD,2.0,4,1,31,-20713.05475023389,0.21497602491790666,25.16
gs_coreg2_small,FD,3.0,0,1,39,-20713.054756745696,0.21439409180608965,28.4
gs_coreg2_small,FD,3.0,1,1,39,-20713.054687827826,0.21480332994663692,26.99
gs_coreg2_small,FD,3.0,2,1,29,-20713.054753512144,0.21441205208850128,20.93
gs_coreg2_small,FD,3.0,3,1,32,-20713.0544565171,0.21503945758109358,20.52
gs_coreg2_small,FD,3.0,4,1,30,-20713.053550615907,0.2211645068759216,23.13
gs_coreg2_small,FD,5.0,0,1,38,-20713.054613783956,0.2174662302080309,31.23
gs_coreg2_small,FD,5.0,1,1,40,-20713.054752469063,0.21438906657237855,29.8
gs_coreg2_small,FD,5.0,2,1,39,-20713.054747611284,0.21431027371082884,27.48
gs_coreg2_small,FD,5.0,3,1,40,-20713.05475100875,0.2143778942193082,26.77
gs_coreg2_small,FD,5.0,4,1,45,-20713.05448001623,0.21453886885696657,32.82
gs_coreg2_small,FD,7.0,0,1,46,-20713.05465902388,0.21470520238529228,33.17
gs_coreg2_small,FD,7.0,1,1,44,-20713.054485410452,0.21622209091248604,31.77
gs_coreg2_small,FD,7.0,2,1,43,-20713.054747492075,0.21421838041491797,29.8
gs_coreg2_small,FD,7.0,3,1,45,-20713.05474498868,0.21488427651312328,31.6
gs_coreg2_small,FD,7.0,4,1,54,-20713.05475692451,0.21446650273291942,38.58
gs_coreg2_small,FD,10.0,0,1,39,-20713.054744675756,0.2138935184427012,27.32
gs_coreg2_small,FD,10.0,1,1,56,-20713.05475062132,0.215077505366715,42.88
gs_coreg2_small,FD,10.0,2,1,44,-20713.05474346876,0.2147023429616204,38.07
gs_coreg2_small,FD,10.0,3,1,53,-20713.054735824466,0.21549420906707145,41.79
gs_coreg2_small,FD,10.0,4,1,56,-20713.05474881828,0.214471161383138,40.21
gst_small,AD,0.3,0,1,13,386.875826029107,0.016722230660174992,4.4
gst_small,AD,0.3,1,1,13,386.8758015760686,0.016893946511957605,4.0
gst_small,AD,0.3,2,1,13,386.87580456456635,0.016825542539137938,4.01
